resource_id,module,topic,difficulty,resource_type,title,description,url
R001,CCC,Classification,Intermediate,Tutorial,Intermediate Guide to Classification for Module CCC (Tutorial),Comprehensive tutorial covering the concepts of Classification tailored for CCC students.,https://scikit-learn.org/stable/supervised_learning.html
R002,EEE,Neural Networks,Advanced,Article,Advanced Guide to Neural Networks for Module EEE (Article),Comprehensive article covering the concepts of Neural Networks tailored for EEE students.,https://www.ibm.com/topics/neural-networks
R003,DDD,NLP Basics,Beginner,Article,Beginner Guide to NLP Basics for Module DDD (Article),Comprehensive article covering the concepts of NLP Basics tailored for DDD students.,https://huggingface.co/learn/nlp-course/chapter1/1
R004,BBB,Clustering,Advanced,Article,Advanced Guide to Clustering for Module BBB (Article),Comprehensive article covering the concepts of Clustering tailored for BBB students.,https://scikit-learn.org/stable/modules/clustering.html
R005,BBB,Neural Networks,Beginner,Research Paper,Beginner Guide to Neural Networks for Module BBB (Research Paper),Comprehensive research paper covering the concepts of Neural Networks tailored for BBB students.,https://www.ibm.com/topics/neural-networks
R006,EEE,Decision Trees,Advanced,Notebook,Advanced Guide to Decision Trees for Module EEE (Notebook),Comprehensive notebook covering the concepts of Decision Trees tailored for EEE students.,https://scikit-learn.org/stable/modules/tree.html
R007,AAA,Model Evaluation,Intermediate,Tutorial,Intermediate Guide to Model Evaluation for Module AAA (Tutorial),Comprehensive tutorial covering the concepts of Model Evaluation tailored for AAA students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R008,CCC,Data Preprocessing,Beginner,Practice Exercise,Beginner Guide to Data Preprocessing for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R009,EEE,NLP Basics,Intermediate,Notebook,Intermediate Guide to NLP Basics for Module EEE (Notebook),Comprehensive notebook covering the concepts of NLP Basics tailored for EEE students.,https://huggingface.co/learn/nlp-course/chapter1/1
R010,BBB,Feature Engineering,Beginner,Notebook,Beginner Guide to Feature Engineering for Module BBB (Notebook),Comprehensive notebook covering the concepts of Feature Engineering tailored for BBB students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R011,DDD,Feature Engineering,Intermediate,Video,Intermediate Guide to Feature Engineering for Module DDD (Video),Comprehensive video covering the concepts of Feature Engineering tailored for DDD students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R012,FFF,Feature Engineering,Advanced,Notebook,Advanced Guide to Feature Engineering for Module FFF (Notebook),Comprehensive notebook covering the concepts of Feature Engineering tailored for FFF students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
